Gclasvirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Gclasvirinae
Gordonclarkvirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Gordonclarkvirinae
Gorskivirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Gorskivirinae
Gracegardnervirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Gracegardnervirinae
Guarnerosvirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Guarnerosvirinae
Guernseyvirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Guernseyvirinae
Hendrixvirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Hendrixvirinae
Jameshumphriesvirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Jameshumphriesvirinae
Joanripponvirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Joanripponvirinae
Jondennisvirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Jondennisvirinae
Kutznervirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Kutznervirinae
Mccleskeyvirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Mccleskeyvirinae
Nclasvirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Nclasvirinae
Nymbaxtervirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Nymbaxtervirinae
Ounavirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Ounavirinae
Pclasvirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Pclasvirinae
Queuovirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Queuovirinae
Sepvirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Sepvirinae
Skurskavirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Skurskavirinae
Stephanstirmvirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Stephanstirmvirinae
Tybeckvirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Tybeckvirinae
Vequintavirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Vequintavirinae
Weiservirinae	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,sf;Weiservirinae
Alexandravirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Alexandravirus
Andromedavirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Andromedavirus
Attisvirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Attisvirus
Backyardiganvirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Backyardiganvirus
Beenievirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Beenievirus
Benedictvirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Benedictvirus
Casadabanvirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Casadabanvirus
Ceduovirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Ceduovirus
Dhillonvirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Dhillonvirus
Efquatrovirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Efquatrovirus
Fernvirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Fernvirus
Fromanvirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Fromanvirus
Gladiatorvirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Gladiatorvirus
Gordonvirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Gordonvirus
Ignaciovirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Ignaciovirus
Korravirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Korravirus
Kostyavirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Kostyavirus
Kroosvirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Kroosvirus
Marthavirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Marthavirus
Montyvirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Montyvirus
Mudcatvirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Mudcatvirus
Obolenskvirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Obolenskvirus
Paclarkvirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Paclarkvirus
Pahexavirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Pahexavirus
Pbunavirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Pbunavirus
Skunavirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Skunavirus
Triavirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Triavirus
Turbidovirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Turbidovirus
Veracruzvirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Veracruzvirus
Vividuovirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Vividuovirus
Wbetavirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Wbetavirus
Wizardvirus	r;Duplodnaviria,k;Heunggongvirae,p;Uroviricota,c;Caudoviricetes,g;Wizardvirus
Inoviridae	r;Monodnaviria,k;Loebvirae,p;Hofneiviricota,c;Faserviricetes,o;Tubulavirales,f;Inoviridae
Microviridae	r;Monodnaviria,k;Sangervirae,p;Phixviricota,c;Malgrandaviricetes,o;Petitvirales,f;Microviridae
Polyomaviridae	r;Monodnaviria,k;Shotokuvirae,p;Cossaviricota,c;Papovaviricetes,o;Sepolyvirales,f;Polyomaviridae
Papillomaviridae	r;Monodnaviria,k;Shotokuvirae,p;Cossaviricota,c;Papovaviricetes,o;Zurhausenvirales,f;Papillomaviridae
Parvoviridae	r;Monodnaviria,k;Shotokuvirae,p;Cossaviricota,c;Quintoviricetes,o;Piccovirales,f;Parvoviridae
Bacilladnaviridae	r;Monodnaviria,k;Shotokuvirae,p;Cressdnaviricota,c;Arfiviricetes,o;Baphyvirales,f;Bacilladnaviridae
Circoviridae	r;Monodnaviria,k;Shotokuvirae,p;Cressdnaviricota,c;Arfiviricetes,o;Cirlivirales,f;Circoviridae
Endolinaviridae	r;Monodnaviria,k;Shotokuvirae,p;Cressdnaviricota,c;Arfiviricetes,o;Cirlivirales,f;Endolinaviridae
Vilyaviridae	r;Monodnaviria,k;Shotokuvirae,p;Cressdnaviricota,c;Arfiviricetes,o;Cirlivirales,f;Vilyaviridae
Smacoviridae	r;Monodnaviria,k;Shotokuvirae,p;Cressdnaviricota,c;Arfiviricetes,o;Cremevirales,f;Smacoviridae
Gandrviridae	r;Monodnaviria,k;Shotokuvirae,p;Cressdnaviricota,c;Arfiviricetes,o;Gredzevirales,f;Gandrviridae
Ouroboviridae	r;Monodnaviria,k;Shotokuvirae,p;Cressdnaviricota,c;Arfiviricetes,o;Gredzevirales,f;Ouroboviridae
Draupnirviridae	r;Monodnaviria,k;Shotokuvirae,p;Cressdnaviricota,c;Arfiviricetes,o;Jormunvirales,f;Draupnirviridae
Anicreviridae	r;Monodnaviria,k;Shotokuvirae,p;Cressdnaviricota,c;Arfiviricetes,o;Mulpavirales,f;Anicreviridae
Nanoviridae	r;Monodnaviria,k;Shotokuvirae,p;Cressdnaviricota,c;Arfiviricetes,o;Mulpavirales,f;Nanoviridae
Redondoviridae	r;Monodnaviria,k;Shotokuvirae,p;Cressdnaviricota,c;Arfiviricetes,o;Recrevirales,f;Redondoviridae
Pecoviridae	r;Monodnaviria,k;Shotokuvirae,p;Cressdnaviricota,c;Arfiviricetes,o;Ringavirales,f;Pecoviridae
Naryaviridae	r;Monodnaviria,k;Shotokuvirae,p;Cressdnaviricota,c;Arfiviricetes,o;Rivendellvirales,f;Naryaviridae
Adamaviridae	r;Monodnaviria,k;Shotokuvirae,p;Cressdnaviricota,c;Arfiviricetes,o;Rohanvirales,f;Adamaviridae
Kirkoviridae	r;Monodnaviria,k;Shotokuvirae,p;Cressdnaviricota,c;Arfiviricetes,o;Rohanvirales,f;Kirkoviridae
Kanorauviridae	r;Monodnaviria,k;Shotokuvirae,p;Cressdnaviricota,c;Arfiviricetes,o;Saturnivirales,f;Kanorauviridae
Mahapunaviridae	r;Monodnaviria,k;Shotokuvirae,p;Cressdnaviricota,c;Arfiviricetes,o;Saturnivirales,f;Mahapunaviridae
Geminiviridae	r;Monodnaviria,k;Shotokuvirae,p;Cressdnaviricota,c;Repensiviricetes,o;Geplafuvirales,f;Geminiviridae
Genomoviridae	r;Monodnaviria,k;Shotokuvirae,p;Cressdnaviricota,c;Repensiviricetes,o;Geplafuvirales,f;Genomoviridae
Geplanaviridae	r;Monodnaviria,k;Shotokuvirae,p;Cressdnaviricota,c;Repensiviricetes,o;Geplafuvirales,f;Geplanaviridae
Pleolipoviridae	r;Monodnaviria,k;Trapavirae,p;Saleviricota,c;Huolimaviricetes,o;Haloruvirales,f;Pleolipoviridae
Botybirnaviridae	r;Riboviria,k;Orthornavirae,p;Duplornaviricota,c;Chrymotiviricetes,o;Ghabrivirales,so;Alphatotivirineae,f;Botybirnaviridae
Chrysoviridae	r;Riboviria,k;Orthornavirae,p;Duplornaviricota,c;Chrymotiviricetes,o;Ghabrivirales,so;Alphatotivirineae,f;Chrysoviridae
Fusagraviridae	r;Riboviria,k;Orthornavirae,p;Duplornaviricota,c;Chrymotiviricetes,o;Ghabrivirales,so;Alphatotivirineae,f;Fusagraviridae
Pseudototiviridae	r;Riboviria,k;Orthornavirae,p;Duplornaviricota,c;Chrymotiviricetes,o;Ghabrivirales,so;Alphatotivirineae,f;Pseudototiviridae
Spiciviridae	r;Riboviria,k;Orthornavirae,p;Duplornaviricota,c;Chrymotiviricetes,o;Ghabrivirales,so;Alphatotivirineae,f;Spiciviridae
Artiviridae	r;Riboviria,k;Orthornavirae,p;Duplornaviricota,c;Chrymotiviricetes,o;Ghabrivirales,so;Betatotivirineae,f;Artiviridae
Inseviridae	r;Riboviria,k;Orthornavirae,p;Duplornaviricota,c;Chrymotiviricetes,o;Ghabrivirales,so;Betatotivirineae,f;Inseviridae
Lebotiviridae	r;Riboviria,k;Orthornavirae,p;Duplornaviricota,c;Chrymotiviricetes,o;Ghabrivirales,so;Betatotivirineae,f;Lebotiviridae
Orthototiviridae	r;Riboviria,k;Orthornavirae,p;Duplornaviricota,c;Chrymotiviricetes,o;Ghabrivirales,f;Orthototiviridae
Sedoreoviridae	r;Riboviria,k;Orthornavirae,p;Duplornaviricota,c;Resentoviricetes,o;Reovirales,f;Sedoreoviridae
Spinareoviridae	r;Riboviria,k;Orthornavirae,p;Duplornaviricota,c;Resentoviricetes,o;Reovirales,f;Spinareoviridae
Hepeviridae	r;Riboviria,k;Orthornavirae,p;Kitrinoviricota,c;Alsuviricetes,o;Hepelivirales,f;Hepeviridae
Bromoviridae	r;Riboviria,k;Orthornavirae,p;Kitrinoviricota,c;Alsuviricetes,o;Martellivirales,f;Bromoviridae
Closteroviridae	r;Riboviria,k;Orthornavirae,p;Kitrinoviricota,c;Alsuviricetes,o;Martellivirales,f;Closteroviridae
Endornaviridae	r;Riboviria,k;Orthornavirae,p;Kitrinoviricota,c;Alsuviricetes,o;Martellivirales,f;Endornaviridae
Kitaviridae	r;Riboviria,k;Orthornavirae,p;Kitrinoviricota,c;Alsuviricetes,o;Martellivirales,f;Kitaviridae
Togaviridae	r;Riboviria,k;Orthornavirae,p;Kitrinoviricota,c;Alsuviricetes,o;Martellivirales,f;Togaviridae
Virgaviridae	r;Riboviria,k;Orthornavirae,p;Kitrinoviricota,c;Alsuviricetes,o;Martellivirales,f;Virgaviridae
Alphaflexiviridae	r;Riboviria,k;Orthornavirae,p;Kitrinoviricota,c;Alsuviricetes,o;Tymovirales,f;Alphaflexiviridae
Betaflexiviridae	r;Riboviria,k;Orthornavirae,p;Kitrinoviricota,c;Alsuviricetes,o;Tymovirales,f;Betaflexiviridae
Tymoviridae	r;Riboviria,k;Orthornavirae,p;Kitrinoviricota,c;Alsuviricetes,o;Tymovirales,f;Tymoviridae
Flaviviridae	r;Riboviria,k;Orthornavirae,p;Kitrinoviricota,c;Flasuviricetes,o;Amarillovirales,f;Flaviviridae
Nodaviridae	r;Riboviria,k;Orthornavirae,p;Kitrinoviricota,c;Magsaviricetes,o;Nodamuvirales,f;Nodaviridae
Tombusviridae	r;Riboviria,k;Orthornavirae,p;Kitrinoviricota,c;Tolucaviricetes,o;Tolivirales,f;Tombusviridae
Mitoviridae	r;Riboviria,k;Orthornavirae,p;Lenarviricota,c;Howeltoviricetes,o;Cryppavirales,f;Mitoviridae
Atkinsviridae	r;Riboviria,k;Orthornavirae,p;Lenarviricota,c;Leviviricetes,o;Norzivirales,f;Atkinsviridae
Duinviridae	r;Riboviria,k;Orthornavirae,p;Lenarviricota,c;Leviviricetes,o;Norzivirales,f;Duinviridae
Fiersviridae	r;Riboviria,k;Orthornavirae,p;Lenarviricota,c;Leviviricetes,o;Norzivirales,f;Fiersviridae
Solspiviridae	r;Riboviria,k;Orthornavirae,p;Lenarviricota,c;Leviviricetes,o;Norzivirales,f;Solspiviridae
Blumeviridae	r;Riboviria,k;Orthornavirae,p;Lenarviricota,c;Leviviricetes,o;Timlovirales,f;Blumeviridae
Steitzviridae	r;Riboviria,k;Orthornavirae,p;Lenarviricota,c;Leviviricetes,o;Timlovirales,f;Steitzviridae
Botourmiaviridae	r;Riboviria,k;Orthornavirae,p;Lenarviricota,c;Miaviricetes,o;Ourlivirales,f;Botourmiaviridae
Qinviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Haploviricotina,c;Chunqiuviricetes,o;Muvirales,f;Qinviridae
Aspiviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Haploviricotina,c;Milneviricetes,o;Naedrevirales,f;Aspiviridae
Aliusviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Haploviricotina,c;Monjiviricetes,o;Jingchuvirales,f;Aliusviridae
Chuviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Haploviricotina,c;Monjiviricetes,o;Jingchuvirales,f;Chuviridae
Artoviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Haploviricotina,c;Monjiviricetes,o;Mononegavirales,f;Artoviridae
Bornaviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Haploviricotina,c;Monjiviricetes,o;Mononegavirales,f;Bornaviridae
Filoviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Haploviricotina,c;Monjiviricetes,o;Mononegavirales,f;Filoviridae
Lispiviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Haploviricotina,c;Monjiviricetes,o;Mononegavirales,f;Lispiviridae
Mymonaviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Haploviricotina,c;Monjiviricetes,o;Mononegavirales,f;Mymonaviridae
Nyamiviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Haploviricotina,c;Monjiviricetes,o;Mononegavirales,f;Nyamiviridae
Paramyxoviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Haploviricotina,c;Monjiviricetes,o;Mononegavirales,f;Paramyxoviridae
Rhabdoviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Haploviricotina,c;Monjiviricetes,o;Mononegavirales,f;Rhabdoviridae
Xinmoviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Haploviricotina,c;Monjiviricetes,o;Mononegavirales,f;Xinmoviridae
Fimoviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Polyploviricotina,c;Bunyaviricetes,o;Elliovirales,f;Fimoviridae
Hantaviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Polyploviricotina,c;Bunyaviricetes,o;Elliovirales,f;Hantaviridae
Peribunyaviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Polyploviricotina,c;Bunyaviricetes,o;Elliovirales,f;Peribunyaviridae
Phasmaviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Polyploviricotina,c;Bunyaviricetes,o;Elliovirales,f;Phasmaviridae
Tospoviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Polyploviricotina,c;Bunyaviricetes,o;Elliovirales,f;Tospoviridae
Arenaviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Polyploviricotina,c;Bunyaviricetes,o;Hareavirales,f;Arenaviridae
Nairoviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Polyploviricotina,c;Bunyaviricetes,o;Hareavirales,f;Nairoviridae
Phenuiviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Polyploviricotina,c;Bunyaviricetes,o;Hareavirales,f;Phenuiviridae
Orthomyxoviridae	r;Riboviria,k;Orthornavirae,p;Negarnaviricota,sp;Polyploviricotina,c;Insthoviricetes,o;Articulavirales,f;Orthomyxoviridae
Amalgaviridae	r;Riboviria,k;Orthornavirae,p;Pisuviricota,c;Duplopiviricetes,o;Durnavirales,f;Amalgaviridae
